A,B,support,confidence,bayesian confidence,bayesian lift
"['no-recurrence-events', 'no_irradiat']",['no_node_caps'],54.51263537906137,92.07317073170732,78.05474293031153,0.9783332032441762
"['no_irradiat', 'no_node_caps']",['no-recurrence-events'],54.51263537906137,80.74866310160428,52.650927031933406,0.7440972850941608
"['no-recurrence-events', 'no_node_caps']",['no_irradiat'],54.51263537906137,88.30409356725146,68.85611427197772,0.887122960620364
['0-2'],"['no-recurrence-events', 'no_node_caps']",57.761732851985556,76.55502392344498,44.86638612761135,0.7267829799618915
['no-recurrence-events'],"['0-2', 'no_node_caps']",57.761732851985556,81.63265306122449,54.399102414810166,0.7534275684451208
['no_node_caps'],"['0-2', 'no-recurrence-events']",57.761732851985556,72.39819004524887,37.94749626662785,0.6332202690274648
"['0-2', 'no-recurrence-events']",['no_node_caps'],57.761732851985556,96.3855421686747,89.54383363035537,1.122336738262825
"['0-2', 'no_node_caps']",['no-recurrence-events'],57.761732851985556,80.0,51.20000000000001,0.7235918367346938
"['no-recurrence-events', 'no_node_caps']",['0-2'],57.761732851985556,93.5672514619883,81.91654312188025,1.0856881552517144
['no_irradiat'],"['0-2', 'no-recurrence-events']",53.068592057761734,68.37209302325581,31.9621970392544,0.5333450951731006
['0-2'],"['no-recurrence-events', 'no_irradiat']",53.068592057761734,70.33492822966507,34.794703970028905,0.5876910365669515
['no-recurrence-events'],"['0-2', 'no_irradiat']",53.068592057761734,75.0,42.1875,0.64921875
"['0-2', 'no-recurrence-events']",['no_irradiat'],53.068592057761734,88.55421686746988,69.44288257690364,0.8946827197117352
"['no-recurrence-events', 'no_irradiat']",['0-2'],53.068592057761734,89.63414634146342,72.01458463313068,0.9544516719319235
"['0-2', 'no_irradiat']",['no-recurrence-events'],53.068592057761734,81.66666666666667,54.46712962962963,0.7697650462962963
['no_irradiat'],"['0-2', 'no_node_caps']",63.537906137184116,81.86046511627907,54.855808922484805,0.7597529535764146
['0-2'],"['no_irradiat', 'no_node_caps']",63.537906137184116,84.21052631578948,59.717159935850695,0.8845803904936173
['no_node_caps'],"['0-2', 'no_irradiat']",63.537906137184116,79.63800904977376,50.50811753088167,0.777263808669679
"['0-2', 'no_node_caps']",['no_irradiat'],63.537906137184116,88.0,68.1472,0.8779895069767442
"['no_irradiat', 'no_node_caps']",['0-2'],63.537906137184116,94.11764705882354,83.3706492977814,1.104960280166768
"['0-2', 'no_irradiat']",['no_node_caps'],63.537906137184116,97.77777777777777,93.48038408779149,1.1716772123220924
['no_irradiat'],"['0-2', 'no-recurrence-events', 'no_node_caps']",52.34657039711191,67.44186046511628,20.687983886748597,0.35816072103933505
['0-2'],"['no-recurrence-events', 'no_irradiat', 'no_node_caps']",52.34657039711191,69.377990430622,23.16791037726376,0.42500074003324906
['no-recurrence-events'],"['0-2', 'no_irradiat', 'no_node_caps']",52.34657039711191,73.9795918367347,29.95351017157834,0.47142740440495456
['no_node_caps'],"['0-2', 'no-recurrence-events', 'no_irradiat']",52.34657039711191,65.61085972850678,18.531173158503616,0.34919285475547623
"['no-recurrence-events', 'no_irradiat']","['0-2', 'no_node_caps']",52.34657039711191,88.41463414634147,61.10779552503733,0.8463429680217671
"['no-recurrence-events', 'no_node_caps']","['0-2', 'no_irradiat']",52.34657039711191,84.7953216374269,51.69964576032904,0.7956001042006191
"['0-2', 'no-recurrence-events']","['no_irradiat', 'no_node_caps']",52.34657039711191,87.34939759036145,58.215637385275386,0.8623385858674482
"['no_irradiat', 'no_node_caps']","['0-2', 'no-recurrence-events']",52.34657039711191,77.54010695187166,36.14977368895716,0.6032221272193454
"['0-2', 'no_irradiat']","['no-recurrence-events', 'no_node_caps']",52.34657039711191,80.55555555555556,42.109684594574006,0.6821276393390059
"['0-2', 'no_node_caps']","['no-recurrence-events', 'no_irradiat']",52.34657039711191,72.5,27.628164062499998,0.46664642959222563
"['0-2', 'no-recurrence-events', 'no_irradiat']",['no_node_caps'],52.34657039711191,98.63945578231292,94.66788399906241,1.1865612609837235
"['no-recurrence-events', 'no_irradiat', 'no_node_caps']",['0-2'],52.34657039711191,96.02649006622516,85.02844167057437,1.1269319781219664
"['0-2', 'no-recurrence-events', 'no_node_caps']",['no_irradiat'],52.34657039711191,90.625,67.45157241821289,0.8690272353416266
"['0-2', 'no_irradiat', 'no_node_caps']",['no-recurrence-events'],52.34657039711191,82.38636363636364,46.07033154717088,0.6510960121717517
